ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,Number_Households,Gini_index,LL_95CI,UL_95CI,se,rse,CA_decile,CA_RR,Median_HH_income,Median_HH_decile,version
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CA,06,California,,,,,12577498,0.468,0.4656170213,0.4703829787,0.0012158055,0.2597874938,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CA,06,California,,,,,12577498,0.469,0.4678085106,0.4701914894,0.0006079027,0.129616788,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2008-2010,9,Total,CA,06,California,,,,,12577498,0.471,0.4686170213,0.4733829787,0.0012158055,0.2581327964,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,545138,0.455,0.4490425532,0.4609574468,0.0030395137,0.6680249841,,0.9722222222,66430,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,497,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,14569,0.409,0.3780212766,0.4399787234,0.0158054711,3.8644183679,,0.8739316239,57522,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06007,Butte,Butte,06007,Butte,02,87618,0.45,0.4404680851,0.4595319149,0.0048632219,1.0807159743,,0.9615384615,40011,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06009,Calaveras,Calaveras,06009,Central/Southeast Sierra,03,18886,0.396,0.3674042553,0.4245957447,0.0145896657,3.6842590034,,0.8461538462,54356,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06011,Colusa,Colusa,06011,Northern Sacramento Valley,07,7056,0.44,0.4018723404,0.4781276596,0.0194528875,4.4211108041,,0.9401709402,42398,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06013,Contra Costa,Contra Costa,06013,Bay Area,01,375364,0.449,0.4430425532,0.4549574468,0.0030395137,0.6769518213,,0.9594017094,75483,1,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06015,Del Norte,Del Norte,06015,North Coast,05,9907,0.444,0.4130212766,0.4749787234,0.0158054711,3.5597907938,,0.9487179487,33173,10,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06017,El Dorado,El Dorado,06017,Sacramento Area,08,70223,0.434,0.4197021277,0.4482978723,0.0072948328,1.6808370569,,0.9273504274,68640,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06019,Fresno,Fresno,06019,San Joaquin Valley,10,289391,0.453,0.4446595745,0.4613404255,0.0042553191,0.9393640505,,0.9679487179,44979,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06021,Glenn,Glenn,06021,Northern Sacramento Valley,07,9800,0.437,0.3893404255,0.4846595745,0.0243161094,5.564327099,,0.9337606838,39834,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06023,Humboldt,Humboldt,06023,North Coast,05,56031,0.465,0.4399787234,0.4900212766,0.0127659574,2.7453671929,,0.9935897436,38987,10,03/26/2014 12:00:00 AM
