State,Year,Mo,Day,Victim,County,Race,Sex,Mob,Offense,Note,2nd Name,3rd Name,Comments,Source
AL,1904,4,30,Gaines Hall,Autauga ,Blk,Male,,Assaulted woman (rape),,,,,
AL,1908,4,5,Walter Clayton,Baldwin ,Blk,Male,,Rape,,,,,
AL,1919,6,15,Frank Foukal,Baldwin ,Wht,Male,,Murder,,Frank Fokall,Frank Roukal,,
AL,1885,10,21,George Ward,Barbour ,Blk,Male,,Murder,,,,,
AL,1911,2,12,Iver Peterson,Barbour ,Blk,Male,,Attempted assault (rape),,,,,
AL,1922,1,10,Wm. Jenkins,Barbour ,Blk,Male,,Insulted woman,,Willie Jenkins,,,
AL,1886,11,23,John Davis,Bibb ,Blk,Male,,Assaulted woman (rape),,,,,
AL,1887,6,2,Unnamed Negro,Bibb ,Blk,Male,,Attm. Criminal Assault,,,,,
AL,1893,7,17,Unnamed Negro,Bibb ,Blk,Male,,Murder,Uncertain,,,,
AL,1893,9,5,Unnamed Negro,Bibb ,Blk,Male,,Rape,,,,,
AL,1896,12,22,Joseph James,Bibb ,Blk,Male,,Assaulted girl (rape),,,,,
AL,1897,2,1,James Jackson,Bibb ,Blk,Male,,Attempted rape,,,,,
AL,1899,6,6,Wm. Hill,Bibb ,Blk,Male,,Accomplice in murder,,,,,
AL,1904,6,23,Joe Scott,Bibb ,Blk,Male,Blk,Murder,,,,,
AL,1910,10,11,Grant Richardson,Bibb ,Blk,Male,,Rape,,,,,
AL,1917,1,4,Unnamed Negro,Bibb ,Blk,Male,,Attempted assault (rape),,,,,
AL,1919,6,18,James McMillian,Bibb ,Blk,Male,,Unknown,,Jim Craig,,,
AL,1923,7,13,Johh Poven,Bibb ,Wht,Male,,Unknown,Uncertain,,,,
AL,1890,7,23,Tobe Williams,Blount ,Blk,Male,,Criminal assault (rape),Uncertain,,,,
AL,1895,10,8,Toby McGrady,Bullock ,Blk,Male,,Rape,,Tobe McGrady,,,
AL,1907,1,4,Will Scott,Bullock ,Blk,Male,,Entered girl's room,,,,,
AL,1891,9,25,Unnamed Negro,Butler ,Blk,Male,,Murder,,,,,
AL,1891,9,25,Unnamed Negro,Butler ,Blk,Male,,Murder,,,,,
